"object_id","term_taxonomy_id","term_order"
"6024","75","0"
"6024","76","0"
"6024","79","0"
"6024","95","0"
"6024","99","0"
"6033","1","0"
"6033","60","0"
"6033","66","0"
"6033","68","0"
"6033","69","0"
"6033","70","0"
"6033","71","0"
"6033","72","0"
"6033","73","0"
"6033","76","0"
"6033","79","0"
"6033","95","0"
"6041","1","0"
"6041","60","0"
"6041","66","0"
"6041","67","0"
"6041","69","0"
"6041","70","0"
"6041","71","0"
"6041","72","0"
"6041","73","0"
"6041","75","0"
"6041","76","0"
"6041","95","0"
"6062","1","0"
"6062","60","0"
"6062","66","0"
"6062","67","0"
"6062","68","0"
"6062","69","0"
"6062","70","0"
"6062","72","0"
"6062","73","0"
"6062","75","0"
"6062","76","0"
"6062","79","0"
"6062","95","0"
"6068","1","0"
"6068","60","0"
"6068","66","0"
"6068","68","0"
"6068","69","0"
"6068","70","0"
"6068","71","0"
"6068","72","0"
"6068","73","0"
"6068","75","0"
"6068","76","0"
"6068","79","0"
"6068","95","0"
"6068","99","0"
"6078","1","0"
"6078","60","0"
"6078","66","0"
"6078","67","0"
"6078","68","0"
"6078","69","0"
"6078","70","0"
"6078","71","0"
"6078","72","0"
"6078","73","0"
"6078","75","0"
"6078","76","0"
"6078","79","0"
"6078","95","0"
"6091","1","0"
"6091","60","0"
"6091","66","0"
"6091","68","0"
"6091","70","0"
"6091","71","0"
"6091","72","0"
"6091","73","0"
"6091","75","0"
"6091","95","0"
"6091","99","0"
"6095","1","0"
"6095","60","0"
"6095","66","0"
"6095","67","0"
"6095","68","0"
"6095","69","0"
"6095","70","0"
"6095","71","0"
"6095","73","0"
"6095","75","0"
"6095","76","0"
"6095","79","0"
"6095","95","0"
"6095","99","0"
"6105","1","0"
"6105","60","0"
"6105","66","0"
"6105","67","0"
"6105","68","0"
"6105","69","0"
"6105","70","0"
"6105","71","0"
"6105","72","0"
"6105","73","0"
"6105","75","0"
"6105","76","0"
"6105","79","0"
"6105","95","0"
"6178","1","0"
"6178","60","0"
"6178","66","0"
"6178","67","0"
"6178","68","0"
"6178","70","0"
"6178","71","0"
"6178","73","0"
"6178","75","0"
"6178","76","0"
"6178","79","0"
"6178","95","0"
"6178","99","0"
"6215","1","0"
"6215","60","0"
"6215","66","0"
"6215","67","0"
"6215","68","0"
"6215","69","0"
"6215","70","0"
"6215","71","0"
"6215","72","0"
"6215","73","0"
"6215","75","0"
"6215","79","0"
"6215","95","0"
"6215","99","0"
"6254","1","0"
"6254","60","0"
"6254","66","0"
"6254","68","0"
"6254","69","0"
"6254","70","0"
"6254","71","0"
"6254","72","0"
"6254","73","0"
"6254","75","0"
"6254","79","0"
"6254","95","0"
"6254","99","0"
"6259","1","0"
"6259","60","0"
"6259","66","0"
"6259","67","0"
"6259","68","0"
"6259","69","0"
"6259","70","0"
"6259","72","0"
"6259","73","0"
"6259","75","0"
"6259","76","0"
"6259","79","0"
"6259","95","0"
"6259","99","0"
"6266","1","0"
"6266","60","0"
"6266","66","0"
"6266","68","0"
"6266","69","0"
"6266","70","0"
"6266","71","0"
"6266","72","0"
"6266","73","0"
"6266","76","0"
"6266","79","0"
"6266","95","0"
"6266","99","0"
"6280","1","0"
"6280","60","0"
"6280","66","0"
"6280","67","0"
"6280","68","0"
"6280","69","0"
"6280","70","0"
"6280","71","0"
"6280","73","0"
"6280","75","0"
"6280","76","0"
"6280","95","0"
"6280","99","0"
"6288","1","0"
"6288","60","0"
"6288","66","0"
"6288","67","0"
"6288","68","0"
"6288","69","0"
"6288","70","0"
"6288","71","0"
"6288","72","0"
"6288","73","0"
"6288","75","0"
"6288","76","0"
"6288","79","0"
"6288","95","0"
"6288","99","0"
